"Amazon authorize invalid state : %1 with reason %2","Unerwarteter Status der Amazon Payments Autorisierung: Status: %1, Grund: %2"
"Amazon capture declined : %1","Amazon Payments hat den Zahleinzug abgelehnt. Begründung: %1"
"Amazon capture invalid state : %1 with reason %2","Unerwarteter Status des Amazon Payments Zahleinzugs. Status: %1, Grund: %2"
"Amazon refund invalid state : %1 with reason %2","Unerwarteter Status der Amazon Payments Rückerstattung. Status: %1, Grund: %2"
"the country for your address is not allowed for this store","Das gewählte Lieferland wird leider nicht unterstützt."
"Unfortunately it is not possible to pay with Amazon for this order. Please choose another payment method.","Leider ist die Zahlung über Amazon Payments für diese Bestellung nicht möglich. Bitte wählen Sie eine andere Zahlmethode.
"There has been a problem with the selected payment method on your Amazon account. Please choose another one.","Leider kann die von Ihnen gewählte Zahlungsweise für diese Bestellung nicht verwendet werden. Bitte wählen Sieeine andere im Zahlungsweise Widget."
"The currency selected is not supported by Amazon payments","Die gewählte Währung wird in diesem Shop von Amazon Payments nicht unterstützt."
"Captured amount of %1 online","Zahleinzug über %1 erfolgreich."
"Declined amount of %1 online","Zahleinzug über %1 nicht erfolgreich."
"Capture declined","Zahleinzug abgelehnt"
"Capture declined for Order <a href=""%2"">#%1</a>","Zahleinzug für Bestellung <a href=""%2"">#%1</a> wurde abgelehnt."
"Capture pending approval from the payment gateway","Bestätigung für Zahleinhug steht noch aus, bitte überprüfen Sie dies später erneut."
"Could not find the ""multiline_count"" config of the ""street"" Customer address attribute.","Could not find the ""multiline_count"" config of the ""street"" Customer address attribute."
"Are you an Amazon customer? Pay now with address and payment details stored in your Amazon account.","Sie sind Amazon-Kunde? Zahlen Sie jetzt mit den Zahl- und Lieferinformationen aus Ihrem Amazon-Konto."
"Simulate Payment Scenarios","Simulationsszenarien"
"Your card will be charged on completion of this order.","Der komplette Betrag wird zum Zeitpunkt der Bestellung fällig."
"Amazon could not process your request.","Amazon Payments konnte Ihre Anfrage nicht bearbeiten. Bitte versuchen Sie es erneut."
"Please select a payment method.","Bitte wählen Sie eine Zahlungsweise."
